Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;Estimated
P1[0.00,0.00,0.00]=2.41;P2[8.00,2.40,0.00]=5.70;P3[13.00,0.00,0.00]=10.60;P8[5.90,10.00,0.00]=9.19;[2.17,1.48,0.26]
P1[0.00,0.00,0.00]=2.43;P2[8.00,2.40,0.00]=5.70;P3[13.00,0.00,0.00]=10.68;P8[5.90,10.00,0.00]=9.15;[2.18,1.46,0.25]
P1[0.00,0.00,0.00]=2.41;P2[8.00,2.40,0.00]=5.72;P3[13.00,0.00,0.00]=10.66;P8[5.90,10.00,0.00]=9.19;[2.19,1.44,0.21]
P1[0.00,0.00,0.00]=2.44;P2[8.00,2.40,0.00]=5.68;P3[13.00,0.00,0.00]=10.70;P8[5.90,10.00,0.00]=9.18;[2.20,1.42,0.25]
P1[0.00,0.00,0.00]=2.43;P2[8.00,2.40,0.00]=5.69;P3[13.00,0.00,0.00]=10.69;P8[5.90,10.00,0.00]=9.26;[2.20,1.39,0.31]
P1[0.00,0.00,0.00]=2.41;P2[8.00,2.40,0.00]=5.70;P3[13.00,0.00,0.00]=10.67;P8[5.90,10.00,0.00]=9.13;[2.19,1.39,0.45]
P1[0.00,0.00,0.00]=2.46;P2[8.00,2.40,0.00]=5.63;P3[13.00,0.00,0.00]=10.76;P8[5.90,10.00,0.00]=9.12;[2.20,1.38,0.56]
P1[0.00,0.00,0.00]=2.46;P2[8.00,2.40,0.00]=5.64;P3[13.00,0.00,0.00]=10.62;P8[5.90,10.00,0.00]=9.14;[2.21,1.39,0.47]
P1[0.00,0.00,0.00]=2.39;P2[8.00,2.40,0.00]=5.67;P3[13.00,0.00,0.00]=10.75;P8[5.90,10.00,0.00]=9.12;[2.18,1.46,0.27]
P1[0.00,0.00,0.00]=2.47;P2[8.00,2.40,0.00]=5.70;P3[13.00,0.00,0.00]=10.68;P8[5.90,10.00,0.00]=9.05;[2.18,1.48,0.26]
P1[0.00,0.00,0.00]=2.50;P2[8.00,2.40,0.00]=5.72;P3[13.00,0.00,0.00]=10.65;P8[5.90,10.00,0.00]=9.19;[2.19,1.45,0.34]
P1[0.00,0.00,0.00]=2.48;P2[8.00,2.40,0.00]=5.70;P3[13.00,0.00,0.00]=10.55;P8[5.90,10.00,0.00]=9.13;[2.21,1.42,0.47]
